,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
recwEKUTonVssyCS0,prsn17O,Precipitation Flux of Snow and Ice Containing Oxygen-17 (H2 17O),solid_precipitation_flux_containing_17O,kg m-2 s-1,591401a4-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recKyu51cF9wZDJps'],"Precipitation mass flux of water molecules that contain the oxygen-17 isotope (H2 17O), including solid phase only.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwKPVwVFVE5boy3,siu,X-Component of Sea-Ice Velocity,sea_ice_x_velocity,m s-1,590e80c6-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['reckr6kniUVnqbFrJ', 'recBxamC8oBjF02fe']","The x-velocity of ice on native model grid
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recwKR8uORtdM8oYm,rivo,River Discharge,outgoing_water_volume_transport_along_river_channel,m3 s-1,590e05c4-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['receusIjyhzWuvzTU'],"Outflow of River Water from Cell
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwNkHg16Rxsuaca,baccos,Surface Bacterial Carbon Concentration,mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,mol m-3,c96caa26-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recUTUDb8FJF1DSx2'],"Sum of bacterial carbon component concentrations
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwP8HsxGGGvzDYZ,nppGrass,Net Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,84f0b8d0-acb7-11e6-b5ee-ac72891c3257,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recyaIvZPwG8jxb2O'],"Total NPP of grass in the grid cell
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwQwaP1VNPuiA0r,vsfpr,Virtual Salt Flux into Sea Water Due to Rainfall,virtual_salt_flux_into_sea_water_due_to_rainfall,kg m-2 s-1,7002f5a3bc5218f16a39f3dfabf42244,OMIP.Omon,1,Existing physical parameter,['recxFJbVIF7HdFOxN'],"zero for models using real water fluxes.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwUDWOtsz6o4tvy,rsut,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,W m-2,b907fef85d4c9571a9457ee1b259bb8f,"CCMI1_monthly,CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFsubhr,PMIP3_Aclim,PMIP3_Amon,SPECS_Amon",1,Existing physical parameter,"['recYKADde81mjmLw3', 'recCVo0tHtch7j2js', 'recmLe9W0gonsgftG', 'recFNQJhsOjx29DJB', 'recKMj8asxYvOZMuE', 'recPlnjcHjezyQoLn', 'recz8VcQQdLkbuM73', 'recjVvRTFQL8jbvKj']","at the top of the atmosphere
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwUyHIHKh49hxhA,osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,tendency_of_sea_water_salinity_expressed_as_salt_content_due_to_parameterized_eddy_advection,kg m-2 s-1,f507e49404f47a6255539751483d8bdc,OMIP_Oyr,1,Existing physical parameter,"['rectj9iOJABXaesua', 'recxSFIL2Pv3P6GTZ']","Tendency of salt content for a grid cell from parameterized eddy advection (any form of eddy advection).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwVycJgGl9fGin1,emioa,Primary Emission and Chemical Production of Dry Aerosol Organic Matter,tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles_due_to_net_chemical_production_and_emission,kg m-2 s-1,523886b41b608ce9215833b0406b9c27,CCMI1_monthly,1,Existing physical parameter,['recwnGcwMybR1ievy'],"This is the sum of total emission of primary organic aerosol (POA) and total production of secondary organic aerosol (SOA) (emipoa+chepsoa). Here, mass refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4\*OC, unless your model has more detailed info available.  Integrate 3D chemical production and emission field vertically to 2d field.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwbnVgGhuzyxm1i,wo,Sea Water Vertical Velocity,upward_sea_water_velocity,m s-1,d476e6113f5c466d27fd3aa9e9c35411,SPECS_Omon,1,Existing physical parameter,"['recUypHT0q4GSBZUY', 'recgXbwgqx2Z5KX68', 'recDV7y8QXydrDzCB']","A velocity is a vector quantity. ""Upward"" indicates a vector component which is positive when directed upward (negative downward).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwcZqtG6sEom2iv,sftgif,Land Ice Area Percentage,land_ice_area_fraction,%,a1d2e309c6f25017442ad6c79c4f9eca,CMIP6 endorsement [ISMIP6],1,Existing physical parameter,"['recrU6yzYoFftDkz3', 'rec7lcmohLpADMECz', 'recM0Hq71tyz0OMnz', 'recGaFkNNRk2ooXDc']","Percentage of grid cell covered by land ice (ice sheet, ice shelf, ice cap, glacier)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwcauzd6LW7egLg,clws,Mass Fraction of Stratiform Cloud Liquid Water,mass_fraction_of_stratiform_cloud_liquid_water_in_air,1,e4dc8fb121d8dc2cbc44f1f28eea183b,"CMIP5_CF3hr,CMIP5_CFmon",1,Existing physical parameter,"['rechDduYxPMFM85n4', 'recWu0pUOgzu21o3T']","Calculated as the mass of stratiform cloud liquid water in the grid cell divided by the mass of air (including the water in all phases) in the grid cell.  This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwepTYtve7Ig0r4,noaahi2m,mean 2m daily NOAA heat index,,degC,,,1,Under review,['recn069jm5FSgrMUw'],,,2024-09-15T15:33:55.000Z,Data Request co-leads,In progress,"['Atmosphere', 'Impacts & Adaptation']",True,Impacts and Adaptation,ulas@envs.au.dk,"Important for the estimation of heat stress on human health
",In progress,,mean 2m daily NOAA heat index,,,,,,,,,,
recwmF3CIQFp21HYi,limfepico,Iron Limitation of Picophytoplankton,iron_growth_limitation_of_picophytoplankton,1,b73b4f189e333c9c2426d55fbdfad32f,OMIP_Omon,1,Existing physical parameter,['recNlJ5xfZxLsFZvS'],"Picophytoplankton are phytoplankton of less than 2 micrometers in size. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Iron growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of iron) to the theoretical growth rate if there were no such limit on iron availability.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwqiiaWYJbp2vP9,sftflf,Floating Ice Shelf Area Percentage,floating_ice_shelf_area_fraction,%,590dbe0c-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [ISMIP6],1,Existing physical parameter,"['rechZdu4N4sZJ7pVQ', 'recFLnJjxp4a2ZSsW', 'recg9my78Jz9dLjMU', 'recBLoe1HCVn0l95Q']","Percentage of grid cell covered by floating ice shelf, the component of the ice sheet that is flowing over sea water
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwrjlxMKaZmvjz8,grassFracC4,C4 Natural Grass Area Percentage,area_fraction,%,590dc37a-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recQB8ak92zk7LaJA'],"Percentage of entire grid cell covered by C4 natural grass.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwtJLAWdBlg1c2Q,dissicabioos,Surface Abiotic Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,mol m-3,c96c5576-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recfV4iVvAu8b2Gws'],"Abiotic Dissolved inorganic carbon (CO3+HCO3+H2CO3) concentration
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwxdXM8jQDgAb7G,limncalc,Nitrogen Limitation of Calcareous Phytoplankton,nitrogen_growth_limitation_of_calcareous_phytoplankton,1,197a59d0c69811cf92e1e7bcbe56cb61,OMIP_Omon,1,Existing physical parameter,['recQlnWCZuuYJY8Ri'],"""Calcareous phytoplankton"" are phytoplankton that produce calcite. Calcite is a mineral that is a polymorph of calcium carbonate. The chemical formula of calcite is CaCO3. Phytoplankton are algae that grow where there is sufficient light to support photosynthesis. ""Nitrogen growth limitation"" means the ratio of the growth rate of a species population in the environment (where there is a finite availability of nitrogen) to the theoretical growth rate if there were no such limit on nitrogen availability.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwyS4m9SJOmb63J,treeFracPrimEver,Percentage Cover by Primary Evergreen Trees,area_fraction,%,1e93ae651487e683206b923c11fd6db1,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recrwaq3Sqq7FMYPT'],"Percentage of entire grid cell  that is covered by primary evergreen trees.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwzVo1J5hhvvfGw,hfgeou,Upward Geothermal Heat Flux at Sea Floor,upward_geothermal_heat_flux_at_sea_floor,W m-2,1418ccb847c5c235176620baf22d7b33,"OMIP.fx,OMIP.Omon",1,Existing physical parameter,"['reciuN92KfX1riYaU', 'recKLvM8Y25oS6YLZ']","Upward geothermal heat flux per unit area on the sea floor
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,"If this field is time-independent then save it as a fixed field, otherwise save a time dependent version.",,,,,,,,
recx0iDoNwaL1LotG,arag,Aragonite Concentration,mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,mol m-3,a72a0bcf271db9db3a7fb9b7f3e7b93a,"CMIP5,C4MIP,HighResMIP,LS3MIP,PMIP",1,Existing physical parameter,"['recTDlf07sXIGiTXp', 'recPZ1fMUy78Ma6Yn']","Sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recx3bOa8gyrB2d01,bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic_carbon_in_sea_water_due_to_biological_processes,mol m-3 s-1,1df32c1e9440e03187aa8253e1a0f2d9,CMIP5_Oyr,1,Existing physical parameter,['recFduYkEZ6vaic6q'],"Net total of biological terms in time rate of change of dissolved inorganic carbon
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recx7n6PjGBYChSJ1,fProductDecomp,Decomposition out of Product Pools to CO2 in Atmosphere as Carbon Mass Flux [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_forestry_and_agricultural_products,kg m-2 s-1,590f933a-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recYv1157CvOV45TB'],"Flux of CO2 from product pools into the atmosphere. Examples of ""forestry and agricultural products"" are paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock. Models that simulate land use changes have one or more pools of carbon that represent these products in order to conserve carbon and allow its eventual release into the atmosphere, for example, when the products decompose in landfill sites.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxD7faK0oVptsHo,mrroIs,Ice Sheet Total Runoff,runoff_flux,kg m-2 s-1,538266e8-bf01-11e6-a554-ac72891c3257,CMIP6 [ISMIP6],1,Existing physical parameter,['reccXDVEwFg9pupeg'],"The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxEh8rA5sknXNX8,intppdiat,Net Primary Organic Carbon Production by Diatoms,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_diatoms,mol m-2 s-1,e527e1f0-dd83-11e5-9194-ac72891c3257,OMIP.Omon.bgc.88,1,Existing physical parameter,"['reca0zIaihRJPqnVC', 'rec1cN8nwUg3ljjxs']","Vertically integrated primary (organic carbon) production by the diatom phytoplankton component alone
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxI7TvYK2JFo2oh,sivoln,Sea-Ice Volume North,sea_ice_volume,1e3 km3,5913c9aa-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['rec2e966Ak6LDPenl'],"total volume of sea ice in the Northern hemisphere
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recxLHLqkUwBSrmGy,sidragbot,Ocean Drag Coefficient,sea_ice_basal_drag_coefficient_for_momentum_in_sea_water,1,590e9070-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['reccniSVnMPcsD37m'],"Oceanic drag coefficient that is used to calculate the oceanic momentum drag on sea ice
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recxNZTvqU9k0i9Es,tropch4lossoh,Loss of CH4 due to tropospheric loss by OH,,mol m-3 s-1,,,1,Under review,['recvQmp2TnMkAOQY9'],,,2024-08-29T15:44:30.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To calculate methane budgets with new methane emissions-driven modelling capability
",,,tendency_of_atmosphere_moles_of_methane_due_to_chemical_destruction_by_hydroxyl,https://github.com/cf-convention/vocabularies/issues/214,,,,,,,,,
recxPDKd7aggaaSeX,gppVgt,Gross Primary Production on Vegetation type as Carbon Mass Flux,gross_primary_productivity_of_biomass_expressed_as_carbon,kg m-2 s-1,,,1,Under review,['reczTTWoh6ABOD1lU'],,0 checked out of 1,2024-09-06T12:39:20.000Z,Beth Dingley,,"['Land & land-ice', 'Earth system']",True,Daniele Peano,daniele.peano@cmcc.it,"This physical parameter allows to assess phenology simulated by models and the relative impact for future projections at vegetation type level.
",,,,,,,,,,In progress,In progress,,
recxS8K0pO3GHDtI5,snicem,Surface Snow and Ice Melt Flux,surface_snow_and_ice_melt_flux,kg m-2 s-1,5912a516-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [ISMIP6],1,Existing physical parameter,"['recBSFeKuybTTLkDz', 'recdxCyyvB27bJ9sS']","Loss of snow and ice mass resulting from surface melting. Computed as the total surface melt on the land ice portion of the grid cell divided by land ice area in the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxUPrLRudLphcdl,nep,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,kg m-2 s-1,b71c89e6003d19738e44474eaacf8ef0,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recdhfNsdLURaE6ps'],"Natural flux of CO2 (expressed as a mass flux of carbon) from the atmosphere to the land calculated as the difference between uptake associated will photosynthesis and the release of CO2 from the sum of plant and soil respiration and fire.  Positive flux is into the land.  Emissions from natural fires and human ignition fires as calculated by the fire module of the dynamic vegetation model, but excluding any CO2 flux from fire included in fLuc (CO2 Flux to Atmosphere from Land Use Change).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxUcn4fgB9b4I4y,sihc,Sea-Ice Heat Content per Unit Area,sea_ice_temperature_expressed_as_heat_content,J m-2,590f9d30-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['recFDDV5OI5shD7JM', 'recdz0FNMlfXwZA4z']","Heat content of all ice in grid cell divided by total grid-cell area. Water at 0 Celsius is assumed to have a heat content of 0 J.  Does not include heat content of snow, but does include heat content of brine. Heat content is always negative, since both the sensible and the latent heat content of ice are less than that of water
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recxUyZUKIUYFPCSH,nProduct,Nitrogen Mass in Products of Land-Use Change,nitrogen_mass_content_of_forestry_and_agricultural_products,kg m-2,5917f21e-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recsKfCEOrSYtQn4L'],"Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxVbAs6WRNk6T6n,prw18O,Mass of Water Vapor Containing Oxygen-18 (H2 18O) in Layer,mass_content_of_water_vapor_containing_18O_in_atmosphere_layer,kg m-2,590e0dd0-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recEVaqF3U1metEvg'],"Water vapor path for water molecules that contain oxygen-18 (H2 18O)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxcuMQV6TObVYcQ,rhLitter,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Litter on Land,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_litter,kg m-2 s-1,59136654-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recVWRGKoO2qsjxRB'],"Needed to calculate litter bulk turnover time. Includes respiration from CWD as well.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxg6VIG0paXc7BA,cod,Cloud Optical Depth,atmosphere_optical_thickness_due_to_cloud,1,db3d77eebc6dc2fbcab4e0f894e46037,CCMI1_daily,1,Existing physical parameter,"['rec3hbH7jh6eXjarX', 'recUCxlOFXcKL5NlJ']","The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical\_thickness) on traversing the path. A coordinate variable of radiation\_wavelength or radiation\_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. The atmosphere optical thickness applies to radiation passing through the entire atmosphere. ""Cloud"" means the component of extinction owing to the presence of liquid or ice water particles. The specification of a physical process by the phrase due\_to\_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity named by omitting the phrase.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxgFSatpa7TFQhz,chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,ab60603d901dfa1c47f4d2fd7784f8ea,OMIP,1,Existing physical parameter,"['recg5TaDYwTnTAeEJ', 'recJQvOgnnY3ItheB', 'rec2LuwcTGODuVxeQ']","Sum of chlorophyll from all phytoplankton group concentrations.  In most models this is equal to chldiat+chlmisc, that is the sum of Diatom Chlorophyll Mass Concentration and Other Phytoplankton Chlorophyll Mass Concentration
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxm5KzmFlfLXjY5,prcsh,Precipitation Flux from Shallow Convection,shallow_convective_precipitation_flux,kg m-2 s-1,590d6e02-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [HighResMIP],1,Existing physical parameter,['recaGo2B1ZoU2N6aT'],"Convection precipitation from shallow convection
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recxmU1BQP7XHsUuJ,rsu,Upwelling Shortwave Radiation,upwelling_shortwave_flux_in_air,W m-2,c323f38340e4846931ad4891232d839d,CMIP5_CFmon,1,Existing physical parameter,"['rec62oVycApYsDUpH', 'recPT90DEaHxHa6y4', 'recXdOO9CNxUSU9yz']","Upwelling shortwave radiation  (includes also the fluxes at the surface and top of atmosphere)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
